Type,Module,Layer,Usage,StructuralStatus,IsZombie,IsIsolated,IsEntryPoint
OrquestradorNucleo,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
AdaptadorBasico,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AdaptadorBeats,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AdaptadorDiagnostico,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
AdaptadorDinamica,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AdaptadorDuracao,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AdaptadorInteracao,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AdaptadorLimbic,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
ConversorFenotipo,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ExtratorEtogramaAdapter,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
EspecialistaBeats,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
EspecialistaDinamica,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
EspecialistaDuracao,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
EspecialistaInteracao,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
EspecialistaProducao,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
EspecialistaVocabulario,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
IModuloAnalise,AvaliaRoteiro,Core,10,DriftArquitetural,0,0,0
IMotorSplicing,AvaliaRoteiro,Core,7,DriftArquitetural,0,0,0
IMotorDeTranscricao,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
LeitorFountain,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ScriptomeDashboardPipeline,AvaliaRoteiro,Aplicação,0,DriftLogico,1,0,0
MotorFenotipoV2,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
MotorSplicing,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
AppConfig,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
EstatisticasCena,AvaliaRoteiro,Core,6,DriftArquitetural,0,0,0
EstatisticasRoteiro,AvaliaRoteiro,Core,29,DriftArquitetural,0,0,0
PerfilPersonagem,AvaliaRoteiro,Core,40,DriftArquitetural,0,0,0
ResultadoAnalise,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
TermoInfluente,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ResultadoDinamica,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ResultadoInteracao,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
ExpressaoEnergetica,AvaliaRoteiro,Core,9,DriftArquitetural,0,0,0
ExpressaoNarrativa,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0
ExpressaoPsicodinamica,AvaliaRoteiro,Core,9,DriftArquitetural,0,0,0
ExpressaoVetorial,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
PerfilPersonagemConsolidado,AvaliaRoteiro,Aplicação,7,DriftLogico,0,0,0
ResultadoBaseLinguistico,AvaliaRoteiro,Core,8,DriftArquitetural,0,0,0
BaseImutavel,AvaliaRoteiro,Core,5,DriftArquitetural,0,0,0
GeneDiscursivo,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0
MotorDeTranscricao,AvaliaRoteiro,Core,5,DriftArquitetural,0,0,0
ResultadoSplice,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
RnaBruto,AvaliaRoteiro,Core,20,DriftArquitetural,0,0,0
RnaCartesiano,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
RnaLimbic,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0
ResultadoModuloLimbic,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
Cena,AvaliaRoteiro,Core,13,DriftArquitetural,0,0,0
ElementoCena,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0
Dialogo,AvaliaRoteiro,Core,16,DriftArquitetural,0,0,0
Acao,AvaliaRoteiro,Core,9,DriftArquitetural,0,0,0
Transicao,AvaliaRoteiro,Core,3,DriftArquitetural,0,0,0
Roteiro,AvaliaRoteiro,Core,18,DriftArquitetural,0,0,0
